Datetime,hour,energy_consumption,hour_mean,z_score,residual,anomaly_type,is_peak_hour,is_weekend,wastage_mw,cost_usd
2002-04-19 15:00:00,15,41602.0,34940.669692967975,0.9822423508918994,10745.323379226593,Demand Surge,0,0,6661.330307032025,799359.636843843
2002-04-19 16:00:00,16,41742.0,35065.39220864972,0.9558986763735251,11179.087622062383,Demand Surge,0,0,6676.607791350281,801192.9349620338
2002-04-19 17:00:00,17,40868.0,35596.05150214592,0.7585494002380745,10423.509827565656,Demand Surge,1,0,5271.948497854079,632633.8197424894
2002-04-19 18:00:00,18,39334.0,36421.93149554308,0.4332648527601938,9044.19622492561,Demand Surge,1,0,2912.068504456918,349448.2205348302
2002-04-21 07:00:00,7,20321.0,29611.04688015847,-2.040906287855743,-2250.0112357505604,Pattern Outlier,0,1,0.0,0.0
2002-04-21 08:00:00,8,21290.0,31490.827830967315,-2.1319407797602965,-2304.251388863915,Pattern Outlier,0,1,0.0,0.0
2002-04-21 09:00:00,9,23033.0,32628.888246946186,-2.1010757199975587,-1963.2236394185638,Pattern Outlier,0,1,0.0,0.0
2002-04-28 08:00:00,8,21793.0,31490.827830967315,-2.0268153693535083,-1801.251388863915,Pattern Outlier,0,1,0.0,0.0
2002-05-05 07:00:00,7,20186.0,29611.04688015847,-2.0705640874787976,-1039.2894206889978,Pattern Outlier,0,1,0.0,0.0
2002-05-05 08:00:00,8,21552.0,31490.827830967315,-2.077183607739266,-959.5340060501694,Pattern Outlier,0,1,0.0,0.0
2002-05-05 09:00:00,9,23279.0,32628.888246946186,-2.0472125846818794,-1090.4491297189707,Pattern Outlier,0,1,0.0,0.0
2002-05-12 07:00:00,7,19839.0,29611.04688015847,-2.1467956168802793,-1386.2894206889978,Pattern Outlier,0,1,0.0,0.0
2002-05-12 08:00:00,8,20964.0,31490.827830967315,-2.200073749526923,-1547.5340060501694,Pattern Outlier,0,1,0.0,0.0
2002-05-12 09:00:00,9,22909.0,32628.888246946186,-2.128226243490015,-1460.4491297189707,Pattern Outlier,0,1,0.0,0.0
2002-05-26 07:00:00,7,19760.0,29611.04688015847,-2.1641509218448816,-1465.2894206889978,Pattern Outlier,0,1,0.0,0.0
2002-05-26 08:00:00,8,20833.0,31490.827830967315,-2.2274523355374387,-1678.5340060501694,Pattern Outlier,0,1,0.0,0.0
2002-05-26 09:00:00,9,22651.0,32628.888246946186,-2.1847168488210937,-1718.4491297189707,Pattern Outlier,0,1,0.0,0.0
2002-05-27 07:00:00,7,20392.0,29611.04688015847,-2.0253084821280622,-5637.480123180576,Pattern Outlier,0,0,0.0,0.0
2002-05-27 08:00:00,8,21607.0,31490.827830967315,-2.0656887815516445,-6701.985738844771,Pattern Outlier,0,0,0.0,0.0
2002-05-31 12:00:00,12,40332.0,34588.618355893035,1.0523812458442345,7040.569332967192,Demand Surge,0,0,5743.381644106965,689205.7972928358
2002-05-31 13:00:00,13,41326.0,34759.57114559261,1.1036828598783122,7794.41997608087,Demand Surge,0,0,6566.428854407393,787971.4625288872
2002-05-31 14:00:00,14,42430.0,34916.601683724,1.169657118179468,8664.239235202956,Demand Surge,0,0,7513.398316275998,901607.7979531197
2002-05-31 15:00:00,15,43023.0,34940.669692967975,1.1917750292435418,9216.677045071789,Demand Surge,0,0,8082.330307032025,969879.636843843
2002-05-31 16:00:00,16,43444.0,35065.39220864972,1.1995762440891968,9647.925802414939,Demand Surge,0,0,8378.607791350281,1005432.9349620338
2002-05-31 17:00:00,17,43566.0,35596.05150214592,1.1467486177902508,9761.647223376116,Demand Surge,1,0,7969.948497854079,956393.8197424894
2002-05-31 18:00:00,18,42812.0,36421.93149554308,0.950730412239187,9354.424236380677,Demand Surge,1,0,6390.068504456918,766808.2205348301
2002-05-31 19:00:00,19,41243.0,36426.62991086167,0.7706199022653574,8734.021093143572,Demand Surge,1,0,4816.370089138327,577964.4106965992
2002-05-31 20:00:00,20,39621.0,36106.84021129085,0.6253687588988825,7705.183076004403,Demand Surge,1,0,3514.1597887091484,421699.1746450978
2002-06-07 14:00:00,14,33196.0,34916.601683724,-0.26785669043523513,-7435.60644128971,Demand Drop,0,0,0.0,0.0
2002-06-07 15:00:00,15,33019.0,34940.669692967975,-0.2833586190533133,-8001.601387936658,Demand Drop,0,0,0.0,0.0
2002-06-07 16:00:00,16,32961.0,35065.39220864972,-0.301288586911618,-8336.017679760327,Demand Drop,0,0,0.0,0.0
2002-06-07 17:00:00,17,33028.0,35596.05150214592,-0.3695016989498658,-8294.603117329869,Demand Drop,1,0,0.0,0.0
2002-06-07 18:00:00,18,32571.0,36421.93149554308,-0.5729512423394125,-8248.862920941545,Demand Drop,1,0,0.0,0.0
2002-06-07 19:00:00,19,31688.0,36426.62991086167,-0.7581814626361544,-7893.194040811133,Demand Drop,1,0,0.0,0.0
2002-06-07 20:00:00,20,30495.0,36106.84021129085,-0.9986653308564923,-7430.159552307043,Demand Drop,1,0,0.0,0.0
2002-06-08 14:00:00,14,29149.0,34916.601683724,-0.8978781744577284,-7215.6486991107595,Demand Drop,0,1,0.0,0.0
2002-06-08 15:00:00,15,29016.0,34940.669692967975,-0.8736185145083624,-7692.3532226183015,Demand Drop,0,1,0.0,0.0
